Recherche de l'hôte...
Connexion à l'hôte...
Authentification...
Utilisation du nom d'utilisateur "gmetais".
Authentification avec le mot de passe pré-entré.
Authentifié.
Démarrage de la session...
Session démarrée.
Session active : [1] gmetais@rebond.tlt
Recherche de l'hôte...
Connexion à l'hôte...
Authentification...
Utilisation du nom d'utilisateur "gmetais".
Authentification avec le mot de passe pré-entré.
Authentifié.
Démarrage de la session...
Session démarrée.
..\StatsIS\2017-11-30\CHROMEBOOK.csv |           1 KB |    0,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\C11.txt |          104 B |  258,8 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHROMEBOOK.bak.csv |           2 KB |  235,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHROMEBOOK.csv |           2 KB |  216,7 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHROMEBOOK.htm |          578 B |  222,7 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHROMEBOOK.png |          13 KB |  312,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHROMEBOOK.tab |           1 KB |  284,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHROMEBOOK.txt |           94 B |  285,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRPORT.bak.csv |           2 KB |  274,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRPORT.csv |           2 KB |  265,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRPORT.htm |          563 B |  268,8 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRPORT.png |          11 KB |  311,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRPORT.tab |           1 KB |  291,7 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRPORT.txt |          136 B |  292,4 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRECOND.bak.csv |           2 KB |  284,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRECOND.csv |           2 KB |  276,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRECOND.htm |          573 B |  278,5 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRECOND.png |          12 KB |  311,4 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRECOND.tab |           1 KB |  297,5 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRECOND.txt |          120 B |  280,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRP.bak.csv |           2 KB |  291,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRP.csv |           2 KB |  285,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRP.htm |          553 B |  272,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRP.png |           9 KB |  289,8 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRP.tab |           1 KB |  293,9 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRRP.txt |           83 B |  280,7 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRUC.bak.csv |           2 KB |  274,9 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRUC.csv |           2 KB |  282,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRUC.htm |          553 B |  271,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRUC.png |          11 KB |  292,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRUC.tab |           1 KB |  294,9 KB/s | binary | 100%
..\StatsIS\2017-12-29\CHRUC.txt |          107 B |  283,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLGV.bak.csv |           3 KB |  279,7 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLGV.csv |           3 KB |  277,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLGV.htm |          553 B |  278,5 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLGV.png |          11 KB |  294,5 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLGV.tab |           1 KB |  287,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLGV.TXT |           63 B |  277,9 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLMET.bak.csv |           3 KB |  284,8 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLMET.csv |           3 KB |  282,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLMET.htm |          558 B |  274,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLMET.png |          14 KB |  304,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLMET.tab |           1 KB |  297,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLMET.txt |          112 B |  288,5 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPORT.bak.csv |           2 KB |  293,8 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPORT.csv |           2 KB |  290,9 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPORT.htm |          563 B |  283,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPORT.png |          10 KB |  303,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPORT.tab |           1 KB |  297,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPORT.txt |          114 B |  289,4 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPV.bak.csv |           3 KB |  295,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPV.csv |           3 KB |  292,7 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPV.htm |          553 B |  286,5 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPV.png |          11 KB |  305,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPV.tab |           1 KB |  299,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLPV.txt |           95 B |  292,5 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLRECOND.bak.csv |           2 KB |  296,5 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLRECOND.csv |           2 KB |  293,9 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLRECOND.htm |          573 B |  287,9 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLRECOND.png |          11 KB |  304,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLRECOND.tab |           1 KB |  299,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLRECOND.txt |           82 B |  292,7 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLUC.bak.csv |           2 KB |  296,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLUC.csv |           2 KB |  293,5 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLUC.htm |          553 B |  288,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLUC.png |          12 KB |  305,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLUC.tab |           1 KB |  300,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\COLUC.txt |           88 B |  294,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\FINGERPRINT.bak.csv |           3 KB |  293,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\FINGERPRINT.csv |           3 KB |  298,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\FINGERPRINT.htm |          583 B |  293,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\FINGERPRINT.png |          10 KB |  300,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\FINGERPRINT.tab |           1 KB |  302,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\FINGERPRINT.txt |          118 B |  296,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\index.html |           7 KB |  299,8 KB/s | binary | 100%
..\StatsIS\2017-12-29\PFMA.bak.csv |           2 KB |  298,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\PFMA.csv |           2 KB |  296,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\PFMA.htm |          548 B |  296,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\PFMA.png |          12 KB |  305,4 KB/s | binary | 100%
..\StatsIS\2017-12-29\PFMA.tab |           1 KB |  301,8 KB/s | binary | 100%
..\StatsIS\2017-12-29\PFMA.txt |          154 B |  301,9 KB/s | binary | 100%
..\StatsIS\2017-12-29\PSMM3.bak.csv |           2 KB |  299,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\PSMM3.csv |           2 KB |  297,7 KB/s | binary | 100%
..\StatsIS\2017-12-29\PSMM3.htm |          553 B |  293,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\PSMM3.png |          10 KB |  303,9 KB/s | binary | 100%
..\StatsIS\2017-12-29\PSMM3.tab |           1 KB |  300,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\PSMM3.txt |          125 B |  295,8 KB/s | binary | 100%
..\StatsIS\2017-12-29\SERVEURS.bak.csv |           2 KB |  298,5 KB/s | binary | 100%
..\StatsIS\2017-12-29\SERVEURS.csv |           2 KB |  296,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\SERVEURS.htm |          568 B |  292,5 KB/s | binary | 100%
..\StatsIS\2017-12-29\SERVEURS.png |          10 KB |  303,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\SERVEURS.tab |           1 KB |  299,8 KB/s | binary | 100%
..\StatsIS\2017-12-29\SERVEURS.txt |          114 B |  295,4 KB/s | binary | 100%
..\StatsIS\2017-12-29\UCSHIP.bak.csv |           2 KB |  297,8 KB/s | binary | 100%
..\StatsIS\2017-12-29\UCSHIP.csv |           2 KB |  296,0 KB/s | binary | 100%
..\StatsIS\2017-12-29\UCSHIP.htm |          558 B |  292,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\UCSHIP.png |           9 KB |  300,6 KB/s | binary | 100%
..\StatsIS\2017-12-29\UCSHIP.tab |           1 KB |  297,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\UCSHIP.txt |          105 B |  293,4 KB/s | binary | 100%
..\StatsIS\2017-12-29\WIFICISCO.bak.csv |           3 KB |  296,4 KB/s | binary | 100%
..\StatsIS\2017-12-29\WIFICISCO.csv |           3 KB |  295,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\WIFICISCO.htm |          573 B |  291,7 KB/s | binary | 100%
..\StatsIS\2017-12-29\WIFICISCO.png |          12 KB |  302,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\WIFICISCO.tab |           1 KB |  299,7 KB/s | binary | 100%
..\StatsIS\2017-12-29\WIFICisco.txt |          198 B |  299,9 KB/s | binary | 100%
..\StatsIS\2017-12-29\ZPL.bak.csv |           3 KB |  298,4 KB/s | binary | 100%
..\StatsIS\2017-12-29\ZPL.csv |           3 KB |  297,3 KB/s | binary | 100%
..\StatsIS\2017-12-29\ZPL.htm |          543 B |  297,7 KB/s | binary | 100%
..\StatsIS\2017-12-29\ZPL.png |          12 KB |  304,1 KB/s | binary | 100%
..\StatsIS\2017-12-29\ZPL.tab |           1 KB |  301,2 KB/s | binary | 100%
..\StatsIS\2017-12-29\ZPL.txt |          129 B |  301,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRPORT.bak.csv |           3 KB |    0,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRPORT.csv |           3 KB |  192,2 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRPORT.htm |           1 KB |  296,9 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRPORT.htm~ |           1 KB |  183,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRPORT.png |          11 KB |  537,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRPORT.tab |           1 KB |  392,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRPORT.txt |           97 B |  394,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRECOND.bak.csv |           2 KB |  337,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRECOND.csv |           2 KB |  380,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRECOND.htm |          573 B |  389,6 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRECOND.png |          13 KB |  485,7 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRECOND.tab |           1 KB |  500,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRECOND.txt |          115 B |  416,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRP.bak.csv |           3 KB |  449,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRP.csv |           3 KB |  411,7 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRP.htm |          553 B |  416,6 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRP.png |          10 KB |  449,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRP.tab |           1 KB |  459,9 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRRP.txt |          142 B |  461,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRUC.bak.csv |           2 KB |  427,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRUC.csv |           2 KB |  445,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRUC.htm |          553 B |  403,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRUC.png |          12 KB |  484,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRUC.tab |           1 KB |  448,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\CHRUC.txt |          158 B |  449,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLGV.bak.csv |           3 KB |  467,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLGV.csv |           3 KB |  444,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLGV.htm |          553 B |  447,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLGV.png |          11 KB |  470,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLGV.tab |           1 KB |  476,5 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLGV.TXT |          145 B |  442,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLMET.bak.csv |           3 KB |  457,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLMET.csv |           3 KB |  472,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLMET.htm |          558 B |  442,6 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLMET.png |          15 KB |  507,6 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLMET.tab |           1 KB |  482,5 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLMET.txt |           86 B |  482,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPORT.bak.csv |           2 KB |  464,6 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPORT.csv |           2 KB |  475,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPORT.htm |          563 B |  477,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPORT.png |          11 KB |  490,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPORT.tab |           1 KB |  494,6 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPORT.txt |          255 B |  470,5 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPV.bak.csv |           3 KB |  482,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPV.csv |           3 KB |  468,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPV.htm |          553 B |  470,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPV.png |          11 KB |  507,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPV.tab |           1 KB |  488,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLPV.txt |           95 B |  488,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLRECOND.bak.csv |           2 KB |  473,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLRECOND.csv |           2 KB |  481,2 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLRECOND.htm |          573 B |  482,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLRECOND.png |          10 KB |  491,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLRECOND.tab |           1 KB |  495,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLRECOND.txt |           74 B |  475,4 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLUC.bak.csv |           2 KB |  482,5 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLUC.csv |           2 KB |  469,7 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLUC.htm |          553 B |  471,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLUC.png |          13 KB |  485,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLUC.tab |           1 KB |  487,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\COLUC.txt |           55 B |  488,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\FINGERPRINT.bak.csv |           4 KB |  480,1 KB/s | binary | 100%
..\StatsIS\2018-01-21\FINGERPRINT.csv |           4 KB |  489,6 KB/s | binary | 100%
..\StatsIS\2018-01-21\FINGERPRINT.htm |          583 B |  473,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\FINGERPRINT.png |          10 KB |  496,5 KB/s | binary | 100%
..\StatsIS\2018-01-21\FINGERPRINT.tab |           1 KB |  483,6 KB/s | binary | 100%
..\StatsIS\2018-01-21\FINGERPRINT.txt |          118 B |  483,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\index.html |           4 KB |  477,5 KB/s | binary | 100%
..\StatsIS\2018-01-21\PFMA.bak.csv |           3 KB |  484,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\PFMA.csv |           3 KB |  474,2 KB/s | binary | 100%
..\StatsIS\2018-01-21\PFMA.htm |          548 B |  475,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\PFMA.png |          14 KB |  489,5 KB/s | binary | 100%
..\StatsIS\2018-01-21\PFMA.tab |           1 KB |  492,0 KB/s | binary | 100%
..\StatsIS\2018-01-21\PFMA.txt |          177 B |  492,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\PSMM3.bak.csv |           2 KB |  482,2 KB/s | binary | 100%
..\StatsIS\2018-01-21\PSMM3.csv |           2 KB |  487,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\PSMM3.htm |          553 B |  473,7 KB/s | binary | 100%
..\StatsIS\2018-01-21\PSMM3.png |          10 KB |  493,3 KB/s | binary | 100%
..\StatsIS\2018-01-21\PSMM3.tab |           1 KB |  481,8 KB/s | binary | 100%
..\StatsIS\2018-01-21\PSMM3.txt |          125 B |  482,1 KB/s | binary | 100%
